Social_ID,Name_Social,Date_Social,Headline_Social,Description_Social
17,Population+growth+rate,"Tue, Aug 28, 2018, 03:15",Is Ireland in danger of hitting the wall of full employment?," Not necessarily: there may be a reserve pool of labour to nullify risk of rapid wage inflation
            "
18,Population+growth+rate,"Mon, Aug 27, 2018, 10:23",The ‘Economist’ says Dublin house prices are 25% overvalued," Dublin still more affordable than Vancouver, Paris and London, according to publication
            "
19,Population+growth+rate,"Mon, Aug 13, 2018, 12:53",Turkey’s economic crisis: warning lights are flashing," Cliff Taylor: Investors are looking for a much more robust response than seen to date, fearing the Turkish economy may be heading for a crash
            "
20,Population+growth+rate,"Fri, Jul 6, 2018, 14:10",US job growth strong but unemployment rate rises to 4%," Latest payrolls data points to steady growth and modest inflation pressures
            "
21,Population+growth+rate,"Wed, Jun 20, 2018, 11:46",Employment surpasses pre-crash peak as jobless rate sinks to 5.3%," CSO data shows that statistically all jobs lost during downturn have now been recovered
            "
22,Population+growth+rate,"Fri, May 4, 2018, 15:52",US job growth rebounds modestly; unemployment rate falls," Unemployment rate drops to 3.9% from 4.1% as average hourly earnings rise
            "
23,Population+growth+rate,"Sat, Apr 21, 2018, 06:06","Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
24,Population+growth+rate,"Fri, Apr 13, 2018, 05:59",Tighter focus means National Planning Framework more likely to deliver," Only by understanding the preferences of people and business can public policy influence development
            "
25,Population+growth+rate,"Wed, Apr 11, 2018, 10:55",Brexit: Eurostat starts excluding UK from EU statistics," Agency says move responds to ‘strong demand’ for data leaving out UK
            "
26,Population+growth+rate,"Sun, Apr 8, 2018, 13:15",Sharing wealth is the best antidote to populism," Chris Johns: As a first step to cutting income inequality, let’s make pensions mandatory
            "
27,Population+growth+rate,"Fri, Apr 6, 2018, 16:59",US job gains smallest in six months as wage growth picks up," Nonfarm payrolls increased by 103,000 in March as construction and retail sectors shed jobs
            "
28,Population+growth+rate,"Sat, Mar 17, 2018, 06:30",Give me a crash course in ... Irish economic growth," CSO data shows the economy is booming again – but how reliable are the figures?
            "
29,Population+growth+rate,"Thu, Mar 15, 2018, 06:45",Peak employment isn’t all it’s cracked up to be," CSO statisticians caution about putting too muck stock in peak employment number
            "
30,Population+growth+rate,"Wed, Mar 14, 2018, 11:18","Employment now just 12,000 below all-time peak"," New CSO figures highlights sharp acceleration in employment in 2017
            "
31,Population+growth+rate,"Wed, Feb 14, 2018, 16:38",Residential property prices rise 12.3% in year to December," House prices in Dublin increase 10.8%, while the cost of apartments climbs 14.7%
            "
32,Population+growth+rate,"Fri, Jan 19, 2018, 05:57",Employment growth means we won’t need major tax rises," John FitzGerald: Labour force data points to value of education in getting a job
            "
33,Population+growth+rate,"Tue, Jan 16, 2018, 12:21",Employment expected to surpass pre-crash peak later this year," Total employment in Republic at 2.2 million in third quarter of 2017, CSO figures show
            "
34,Population+growth+rate,"Sat, Jan 6, 2018, 06:10",The Crash – 10 years on: scars remain amid the recovery," The economic bounceback is benefiting many households but the legacy of the crash is still biting
            "
35,Population+growth+rate,"Tue, Dec 5, 2017, 06:15",Have we missed our chance to fix the housing crisis?," Cantillon: Boosting supply of houses would have wider implications for the economy
            "
36,Population+growth+rate,"Tue, Nov 14, 2017, 16:22",Millennials big losers as richest 1% hoard global wealth," Report on world’s money shows number of millionaires up 22%, impacted by Trump and Brexit
            "
37,Population+growth+rate,"Wed, Nov 8, 2017, 15:00",Martin Wolf: Brazil’s crisis presents an opportunity," Its system needs to move from corruption to honesty, opacity to transparency, discretion to predictability, and from looking after the privileged to serving the people.
            "
38,Population+growth+rate,"Sun, Nov 5, 2017, 13:58","Populism, free-trade zealots and the future of western democracy"," Chris Johns on whether the global economic-political order is at an inflection point
            "
39,Population+growth+rate,"Thu, Oct 12, 2017, 05:30",Budget 2018 leads to small losses in income at all levels," ESRI analysis: Budget did not do enough to prepare for wage inflation
            "
40,Population+growth+rate,"Wed, Oct 11, 2017, 06:57",Martin Wolf: The Fed is treading a fine line on monetary tightening," If a big jump in inflation would be destructive, so would excessive tightening
            "
41,Population+growth+rate,"Tue, Oct 10, 2017, 14:32","World economic growth improving, as IMF upgrades Irish forecast"," Economic growth in Britain for 2017 had already been revised lower by IMF to 1.7%
            "
42,Population+growth+rate,"Tue, Sep 12, 2017, 11:17",House price inflation accelerates to 12.3 per cent," Latest CSO numbers show inflation was even more pronounced in Dublin at 12.7 per cent
            "
43,Population+growth+rate,"Fri, Sep 1, 2017, 13:54","US job growth slows in August, wage growth retreats"," Nonfarm payrolls increased by 156,000 last month after rising 189,000 in July
            "
44,Population+growth+rate,"Sat, Aug 19, 2017, 06:35",Macron has big plans for France and Europe," French president wants to turn the euro zone into a more integrated body
            "
45,Population+growth+rate,"Thu, Jul 27, 2017, 06:10",Greece aims to emulate Ireland with a ‘clean’ bailout exit," Even if the prime minister succeeds in his aim, there is no guarantee of political reward
            "
46,Population+growth+rate,"Fri, Jul 7, 2017, 13:59","US job growth accelerates in June, but wages continue to lag"," Some 222,000 jobs were added in US in June as the unemployment rate rose to 4.4%
            "
47,Population+growth+rate,"Sun, Jun 18, 2017, 11:00",How Britain and France’s economies match up," Both France and Britain claim to be world’s fifth largest economy. Who is right?
            "
48,Population+growth+rate,"Sat, Jun 10, 2017, 05:00",Is Ireland in danger of creating another housing bubble?," Expert warnings  and market dysfunction  are fueling concerns about the property market   
            "
49,Population+growth+rate,"Fri, Jun 2, 2017, 20:19",Jobs growth in US slows in May ," Unemployment rate falls to 16-year low as people leave labour force   
            "
50,Population+growth+rate,"Tue, May 23, 2017, 11:12","Nearly 20,000 jobs created in first three months of 2017"," Largest rate of employment increase seen in the information and communications sector   
            "
51,Population+growth+rate,"Fri, May 12, 2017, 05:13",Will Brexit break old patterns of Anglo-Irish migration?," Ireland and Britain have been a common labour market for decades. That may change   
            "
52,Population+growth+rate,"Wed, May 10, 2017, 15:34","Euro zone unemployment higher than figures show, says ECB"," Wage growth has been unexpectedly weak for  bloc on its best economic run in a decade   
            "
53,Population+growth+rate,"Fri, May 5, 2017, 13:59",US unemployment at 10-year low as growth bounces back," Data set to keep Federal Reserve on track to raise interest rates in coming months   
            "
54,Population+growth+rate,"Fri, May 5, 2017, 07:48",US employment growth rebounding and wages increasing," Conditions could pave way for the Federal Reserve to raise interest rates next month   
            "
55,Population+growth+rate,"Fri, Apr 14, 2017, 05:50",Irish and Spanish recoveries  took rather different routes ," While Madrid’s banks were sound, its economy was hampered by high unemployment    
            "
56,Population+growth+rate,"Tue, Apr 4, 2017, 15:18",Unemployment falls to 6.4% as labour market  improves," Latest figures show State’s jobless rate is three points below euro-area average    
            "
57,Population+growth+rate,"Fri, Mar 31, 2017, 06:28",Brexit: 50 things Ireland needs to know," Europe’s priorities  in secession talks are set out – but  what will it mean for Irish business?   
            "
58,Population+growth+rate,"Tue, Mar 14, 2017, 05:00",Home ownership in Dublin falls to record low," Central Statistics Office  figures show one in four residents of the  capital are now renters    
            "
59,Population+growth+rate,"Fri, Mar 10, 2017, 13:57",Strong US jobs figures pave way for Fed rate rise," Unemployment rate fell to 4.7%, and wages grew 2.8% from February   
            "
60,Population+growth+rate,"Wed, Mar 1, 2017, 18:54",Martin Wolf: India’s destiny is in its own hands,"  India  has  some major obstacles to overcome  to become  global economic power   
            "
61,Population+growth+rate,"Mon, Jan 16, 2017, 16:30",Leitrim: a county where  one in four houses lie empty," Once a hotspot for holiday homes and section 23 properties, Leitrim county now has lowest occupancy rate in the State at  70%   
            "
62,Population+growth+rate,"Fri, Jan 6, 2017, 13:45",US job growth slows as wages rebound strongly," Figures point to rising inflationary pressure as president-elect Trump prepartes to enter White House   
            "
63,Population+growth+rate,"Fri, Dec 2, 2016, 14:17",US jobless rate falls to lowest level in nine years," Fed  rate rise  in December now almost certain as unemployment rate drops to 4.6%   
            "
64,Population+growth+rate,"Fri, Nov 25, 2016, 06:42",Japan eyes only modest spending rise next year," PM seeks to both bolster growth and rein in the developed world’s heaviest debt burden   
            "
65,Population+growth+rate,"Tue, Oct 11, 2016, 20:13",Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
66,Population+growth+rate,"Fri, Oct 7, 2016, 06:00",Budget 2017: the crunch points,"   Next week’s budget will be no giveaway and is likely to leave the public distinctly underwhelmed 
            "
67,Population+growth+rate,"Wed, Sep 21, 2016, 14:50",OECD warns governments of ‘low-growth trap’," Global growth set to remain at about 3 per cent this year and next   
            "
68,Population+growth+rate,"Fri, Aug 26, 2016, 15:13",Fed’s Janet Yellen says case for US rate hike has strengthened," Case bolstered by improving labour market conditions  and economic growth expectations    
            "
69,Population+growth+rate,"Tue, Aug 23, 2016, 19:21",Jobs growth in Ireland turns off emigration tap," CSO shows more people arriving than leaving for first time since 2009 with 2.2m in work   
            "
70,Population+growth+rate,"Tue, Aug 23, 2016, 11:26",Number working in Ireland passes two million for first time since 2009," Unemployment fell by 23,400 in year to  end of June, lowering total to 187,800   
            "
71,Population+growth+rate,"Tue, Jul 5, 2016, 12:56",Analysis: Assault on full-employment may be held up by   migration," Returning emigrants to expand workforce and slow downward trend in unemployment   
            "
72,Population+growth+rate,"Wed, Jun 1, 2016, 12:22",US employment data to influence Fed rate decision," Markets gear up for summer hike   
            "
73,Population+growth+rate,"Tue, May 24, 2016, 01:00",Economist Brendan Walsh inspired generations of students ," Brendan Walsh was a sharp analyst of Irish economics and society    
            "
74,Population+growth+rate,"Wed, May 18, 2016, 01:00",Government spending plans may fall foul of EU - Ibec," Employers’ group says capital spending proposals could break fiscal rules    
            "
75,Population+growth+rate,"Fri, May 6, 2016, 01:00",Lifting sanctions on Iran opens up business opportunities ," Trade missions beating a path to Tehran as country’s economy on road to  recovery   
            "
76,Population+growth+rate,"Fri, Mar 4, 2016, 14:04","US job numbers increased by 242,000 last month"," Employment data reinforces economy’s strength, easing fears of recession   
            "
77,Population+growth+rate,"Fri, Feb 5, 2016, 14:08","US job growth slows, unemployment rate at 8-year low"," Nonfarm payrolls rose by 151,000 jobs last month,  unemployment rate  at 4.9%   
            "
78,Population+growth+rate,"Thu, Feb 4, 2016, 18:58",FG economic plan: Do the numbers add up?," Plan is based on 4.3% GDP growth in 2016 and 3.6%  in 2017, down from 7% last year   
            "
79,Population+growth+rate,"Fri, Jan 15, 2016, 08:30",China is facing into a period of  painful economic adjustments ,"   The Chinese government is trying to sell the idea of slower, consumption and services-based growth 
            "
80,Population+growth+rate,"Fri, Jan 8, 2016, 06:00",Philip Lane interview: edited transcript," The Central Bank governor spoke to Arthur Beesley, economics editor of The  Irish Times   
            "
81,Population+growth+rate,"Fri, Jan 8, 2016, 06:00",Governing hand: Philip Lane takes charge of Central Bank in recovering economy," Interview: Mortgage limits may go up or down but the new era of credit control is here to stay, says governor of the Central Bank Philip Lane   
            "
82,Population+growth+rate,"Thu, Jan 7, 2016, 12:45",Euro zone unemployment at lowest rate in over four years," Spain and Greece fall outside the overall positive trend   
            "
83,Population+growth+rate,"Thu, Oct 22, 2015, 08:39","ECB to stay put, keep door open for more stimulus"," Economic growth is slowing again, with even  Germany seeing a recent string of poor data   
            "
84,Population+growth+rate,"Tue, Oct 13, 2015, 15:54",Brendan Howlin: Full Budget 2016 speech," ‘Today, we reap the benefits of the hard work and resilience of the Irish people’   
            "
85,Population+growth+rate,"Mon, Sep 7, 2015, 01:00",G20 tries to dispel fears over China,"   Worry over US-China links remains despite support for Beijing from EU ministers  
            "
86,Population+growth+rate,"Wed, Aug 12, 2015, 01:00",UN forecasts end of global population explosion ," Declining fertility rates everywhere suggest figure could stabilise within decades   
            "
87,Population+growth+rate,"Fri, Aug 7, 2015, 14:17",Improving US jobs market supportive of Fed rate hike," Unemployment rate holds steady at 5.3% in month of July   
            "
88,Population+growth+rate,"Wed, Jul 8, 2015, 13:38",China Crisis: Collapse may be correction to classic bubble," The real question is how much further will the stock market fall   
            "
89,Population+growth+rate,"Tue, Jul 7, 2015, 01:45",China faces challenges in Asia ," China has a short window of opportunity to build the infrastructure it needs   
            "
90,Population+growth+rate,"Mon, Jun 1, 2015, 01:00",Chris Johns: Start your own business before the robots take over," Technologically disrupted workers need to reinvent themselves in self-employment.     
            "
91,Population+growth+rate,"Fri, Mar 20, 2015, 01:32",Australian economy enters troubled waters,"   Last year’s inconclusive budget  stymies business as  emphasis in Australia shifts from ‘mining to dining’ 
            "
92,Population+growth+rate,"Tue, Mar 17, 2015, 01:00",Dollar strength is weakness as euro migrates its slump," The US isn’t exactly booming but it looks great compared with Europe   
            "
93,Population+growth+rate,"Wed, Mar 11, 2015, 01:00",Improving economy makes India a rising force," Martin Wolf: Government  making sensible  reforms   
            "
94,Population+growth+rate,"Tue, Mar 10, 2015, 01:45",How our education system affects the economy of the future ," Countries that prioritise education see the benefits decades later   
            "
95,Population+growth+rate,"Tue, Mar 3, 2015, 01:45",The pathway to Germany’s low unemployment," Reunification came at a significant cost to the German economy in the short term   
            "
96,Population+growth+rate,"Fri, Feb 6, 2015, 14:18","Strong US job, wage gains open door to mid-year rate hike"," January marked 11th straight month of job gains above 200,000, the longest streak since 1994   
            "
97,Population+growth+rate,"Fri, Nov 7, 2014, 14:34","US payrolls rise, unemployment rate falls to 5.8 %"," New figures show that the unemployment rate in the US is at a fresh six-year low   
            "
98,Population+growth+rate,"Tue, Oct 28, 2014, 01:30",Analysts wonder if slowing Chinese GDP is part of a bigger trend," New study bearish on China’s long-term outlook   
            "
99,Population+growth+rate,"Wed, Oct 22, 2014, 11:55",APEC nations vow to pursue ‘flexible’ fiscal policies," Members to advance structural reforms in order to unleash new sources of growthR   
            "
100,Population+growth+rate,"Tue, Oct 14, 2014, 02:00",China (sort of) overtakes US as  biggest economy," Based on purchasing power parity, China has edge over America   
            "
101,Population+growth+rate,"Wed, Oct 1, 2014, 14:34",Long-term joblessness won’t be easily solved," Challenges ahead despite CSO figures showing Ireland’s unemployment rate will fall to about 10.8%
            "
102,Population+growth+rate,"Mon, Sep 8, 2014, 01:00",Opportunity for Republic in low interest rates," Infrastructure gap could be narrowed to meet needs of growing population   
            "
103,Population+growth+rate,"Wed, Jul 16, 2014, 01:00",Janet Yellen cautions on uncertain US economic outlook,"   Economic performance will help determine interest rate changes, says Fed chairwoman 
            "
104,Population+growth+rate,"Sat, Jun 14, 2014, 01:00",Ireland: an economic snapshot," It’s six months this weekend since we exited the bailout and said goodbye to the troika – until their next visit, anyway. ‘Irish Times’ journalists assess how we’re doing, with a graphical guide by Pamela Duncan  
            "
105,Population+growth+rate,"Fri, Jun 6, 2014, 01:00",Backsliding on austerity would risk another crisis," The raspberry sents Brussels way might have given civil servants pause for thought   
            "
106,Population+growth+rate,"Sat, Apr 26, 2014, 00:01",What’s driving the rapid property price rise?," Opinion: We now need to build new homes and get banks to fund property development    
            "
107,Population+growth+rate,"Wed, Feb 26, 2014, 00:01",Long-term unemployment a bigger problem than emigration," Opinion: Irish policy-makers are late coming to the realisation that labour activation policies are vital   
            "
108,Population+growth+rate,"Fri, Feb 7, 2014, 16:06",US employment fails to rebound strongly from winter chill," Loss of momentum seen in  economy, but unemployment rate hits five-year low   
            "
109,Population+growth+rate,"Tue, Jan 21, 2014, 10:22","Davos dilemma: how to help, not harm, world’s fragile recovery"," Euro zone deflation, US tapering, Japanese reforms, China’s bubble all pose major threats 
            "
110,age+distribution,"Sat, Jun 14, 2014, 01:00",Piketty on Ireland," Thomas Piketty’s theory of rising inequality has made him one of 2014’s  best-selling authors. As the French economist prepares for a visit to Dublin, he talks about Ireland’s place in Europe, why we were right not to burn the bondholders, and our country’s ‘unfair’ property tax    
            "
111,age+distribution,"Wed, Feb 12, 2014, 07:25",Enslave the robots and free the poor," The prospect of far better lives depends on how the gains are produced and distributed    
            "
112,safety+emphasis,"Wed, May 9, 2018, 04:15","Cliff Taylor: Brexit is a bagful of intricate, complex, endless 'stuff'"," Commerce needs to take hard Brexiteers to task as basic trade mechanics are overlooked
            "
113,cultural+barriers,"Wed, Feb 18, 2015, 12:27",Europe looks to securitised debt to aid flagging economy," Brussels set to loosen capital charges on asset-backed securities   
            "
